# microns, n, k
5.246918836893177396e-01 4.165052113520021138e+00 3.680000000000013816e-01
5.257895654543582875e-01 4.159703899851264097e+00 3.650000000000012124e-01
5.268918496586650901e-01 4.154444524448926757e+00 3.620000000000012652e-01
5.279987653092084177e-01 4.149240765105787432e+00 3.590000000000013181e-01
5.291103416572278118e-01 4.144069589482780813e+00 3.560000000000013709e-01
5.302266082008084691e-01 4.138907638679135914e+00 3.530000000000014238e-01
5.313475946874910427e-01 4.133720634907684932e+00 3.500000000000012546e-01
5.324733311169136396e-01 4.128422415109507249e+00 3.470000000000013074e-01
5.336038477434887906e-01 4.123165865048619594e+00 3.445000000000011386e-01
5.347391750791132825e-01 4.118104201001263398e+00 3.420000000000009699e-01
5.358793438959130739e-01 4.113151156616645210e+00 3.395000000000010787e-01
5.370243852290239595e-01 4.108272125262644181e+00 3.370000000000011320e-01
5.381743303794073174e-01 4.103442821925535000e+00 3.345000000000011853e-01
5.393292109167021620e-01 4.098637672191128623e+00 3.320000000000012386e-01
5.404890586821144982e-01 4.093815840653883598e+00 3.295000000000010698e-01
5.416539057913432043e-01 4.088861609736094138e+00 3.270000000000011231e-01
5.428237846375447706e-01 4.084023746026684165e+00 3.252500000000008162e-01
5.439987278943360094e-01 4.079564045790011306e+00 3.235000000000007314e-01
5.451787685188356214e-01 4.075417348048792299e+00 3.217500000000007576e-01
5.463639397547461751e-01 4.071727419055363839e+00 3.200000000000007838e-01
5.475542751354753879e-01 4.068055358912503472e+00 3.170000000000013918e-01
5.487498084872995951e-01 4.063956482682998583e+00 3.140000000000014446e-01
5.499505739325672993e-01 4.059554642206494535e+00 3.110000000000012754e-01
5.511566058929456835e-01 4.054711182738519604e+00 3.080000000000013283e-01
5.523679390927103139e-01 4.049852658371083436e+00 3.062500000000007994e-01
5.535846085620776957e-01 4.045394959955872949e+00 3.045000000000007145e-01
5.548066496405811288e-01 4.041151762902938316e+00 3.027500000000007407e-01
5.560340979804938577e-01 4.037067659855655855e+00 3.010000000000007669e-01
5.572669895502954107e-01 4.033121117684752122e+00 2.992500000000007931e-01
5.585053606381849001e-01 4.029307937606731116e+00 2.975000000000007638e-01
5.597492478556419515e-01 4.025642997166863246e+00 2.957500000000006235e-01
5.609986881410340409e-01 4.022197464852467874e+00 2.940000000000005942e-01
5.622537187632734579e-01 4.018805974027721106e+00 2.917500000000008420e-01
5.635143773255230082e-01 4.015304171971875391e+00 2.895000000000007012e-01
5.647807017689511211e-01 4.011767716289685204e+00 2.872500000000007270e-01
5.660527303765388041e-01 4.008220268522903140e+00 2.850000000000007527e-01
5.673305017769372238e-01 4.004673584896330851e+00 2.827500000000008340e-01
5.686140549483782447e-01 4.001136535144746098e+00 2.805000000000009153e-01
5.699034292226377030e-01 3.997621414137911167e+00 2.782500000000007745e-01
5.711986642890527488e-01 3.994164510893384090e+00 2.760000000000008002e-01
5.724998001985950324e-01 3.990680087309010027e+00 2.735000000000009646e-01
5.738068773679982915e-01 3.987078131397016723e+00 2.710000000000007958e-01
5.751199365839433364e-01 3.983379716950851801e+00 2.685000000000008491e-01
5.764390190073009901e-01 3.979550367235054953e+00 2.660000000000009024e-01
5.777641661774326476e-01 3.975664099459164547e+00 2.637500000000008726e-01
5.790954200165511212e-01 3.971784380447885177e+00 2.615000000000008984e-01
5.804328228341414375e-01 3.967833880170858585e+00 2.592500000000007576e-01
5.817764173314426968e-01 3.963681345263960765e+00 2.570000000000007834e-01
5.831262466059935479e-01 3.959559356890657078e+00 2.555000000000005600e-01
5.844823541562401692e-01 3.955703236266263190e+00 2.540000000000004476e-01
5.858447838862079760e-01 3.951990752929980033e+00 2.525000000000005018e-01
5.872135801102411623e-01 3.948379388688685765e+00 2.510000000000005560e-01
5.885887875578060813e-01 3.944845979519215895e+00 2.495000000000005547e-01
5.899704513783643467e-01 3.941373543746627739e+00 2.480000000000006088e-01
5.913586171463135477e-01 3.937943631003754774e+00 2.465000000000004965e-01
5.927533308659981293e-01 3.934515392163096870e+00 2.450000000000005229e-01
5.941546389767924374e-01 3.931171984429751909e+00 2.437500000000004663e-01
5.955625883582541524e-01 3.928004646282462708e+00 2.425000000000003819e-01
5.969772263353521069e-01 3.925004095621017264e+00 2.412500000000004086e-01
5.983986006837695992e-01 3.922264948506430926e+00 2.400000000000004352e-01
5.998267596352820918e-01 3.919526151294032701e+00 2.380000000000007387e-01
6.012617518832135133e-01 3.916518967659855299e+00 2.360000000000006259e-01
6.027036265879693877e-01 3.913308914749059397e+00 2.340000000000006797e-01
6.041524333826520099e-01 3.909778016980913762e+00 2.320000000000007334e-01
6.056082223787547791e-01 3.906268116384749689e+00 2.310000000000003995e-01
6.070710441719402439e-01 3.903118043034312201e+00 2.300000000000003153e-01
6.085409498479013024e-01 3.900193400627991025e+00 2.290000000000003422e-01
6.100179909883087781e-01 3.897493218510806656e+00 2.280000000000003690e-01
6.115022196768448159e-01 3.894927824395822746e+00 2.267500000000004790e-01
6.129936885053249851e-01 3.892428410938943983e+00 2.255000000000003946e-01
6.144924505799100878e-01 3.890080445607362769e+00 2.242500000000004212e-01
6.159985595274098946e-01 3.888072990521598715e+00 2.230000000000004479e-01
6.175120695016786954e-01 3.885984416925029272e+00 2.205000000000009452e-01
6.190330351901065509e-01 3.883371052231263221e+00 2.180000000000007765e-01
6.205615118202055802e-01 3.880335633445548993e+00 2.155000000000008298e-01
6.220975551662951686e-01 3.876640210004390852e+00 2.130000000000008831e-01
6.236412215562858741e-01 3.872975424335172612e+00 2.125000000000001887e-01
6.251925678785652529e-01 3.870035902478217160e+00 2.120000000000001605e-01
6.267516515889856032e-01 3.867593231416664779e+00 2.115000000000001601e-01
6.283185307179580681e-01 3.865785886486313050e+00 2.110000000000001597e-01
6.298932638776522097e-01 3.864086261401606492e+00 2.090000000000007407e-01
6.314759102693046078e-01 3.861982704813833323e+00 2.070000000000007112e-01
6.330665296906379247e-01 3.859683663746219295e+00 2.050000000000006817e-01
6.346651825433919925e-01 3.857217933805619392e+00 2.030000000000007354e-01
6.362719298409701407e-01 3.854698576275121358e+00 2.012500000000006783e-01
6.378868332162010990e-01 3.852228801135013647e+00 1.995000000000006213e-01
6.395099549292194707e-01 3.849796756258322183e+00 1.977500000000005920e-01
6.411413578754674436e-01 3.847462901293273951e+00 1.960000000000006182e-01
6.427811055938189577e-01 3.845047151264660901e+00 1.937500000000008660e-01
6.444292622748287735e-01 3.842357139667583077e+00 1.915000000000008085e-01
6.460858927691085496e-01 3.839406838832886137e+00 1.892500000000007510e-01
6.477510625958330381e-01 3.836024832934316731e+00 1.870000000000008045e-01
6.494248379513778424e-01 3.832622979570561750e+00 1.860000000000003872e-01
6.511072857180912887e-01 3.829609229018428707e+00 1.850000000000003586e-01
6.527984734732031891e-01 3.826792012136098986e+00 1.840000000000003300e-01
6.544984694978729367e-01 3.824111768601108352e+00 1.830000000000003568e-01
6.562073427863791553e-01 3.821542910062865950e+00 1.820000000000003837e-01
6.579251630554534547e-01 3.819076450555892954e+00 1.810000000000003550e-01
6.596520007537617358e-01 3.816720747007965819e+00 1.800000000000003264e-01
6.613879270715348202e-01 3.814537105059673472e+00 1.790000000000003533e-01
6.631330139503515131e-01 3.812343823903478146e+00 1.775000000000005462e-01
6.648873340930773201e-01 3.809946124951336444e+00 1.760000000000005171e-01
6.666509609739608155e-01 3.807352139318682660e+00 1.745000000000004881e-01
6.684239688488915476e-01 3.804362847877509779e+00 1.730000000000005145e-01
6.702064327658219245e-01 3.801489461051076546e+00 1.729999999999999871e-01
6.719984285753561881e-01 3.799254102412652934e+00 1.729999999999999871e-01
6.738000329415100298e-01 3.797494748224264249e+00 1.729999999999999871e-01
6.756113233526430673e-01 3.796343065791699445e+00 1.729999999999999871e-01
6.774323781325692906e-01 3.795379294141755899e+00 1.717500000000004023e-01
6.792632764518465871e-01 3.794210067997538349e+00 1.705000000000003735e-01
6.811040983392500081e-01 3.793078468554310856e+00 1.692500000000003724e-01
6.829549246934326634e-01 3.792229149765663720e+00 1.680000000000003990e-01
6.848158372947771300e-01 3.791275315644814903e+00 1.655000000000008409e-01
6.866869188174404837e-01 3.789808394385123069e+00 1.630000000000007832e-01
6.885682528415979498e-01 3.787989913147039367e+00 1.605000000000007254e-01
6.904599238658879479e-01 3.785762657119458918e+00 1.580000000000007787e-01
6.923620173200639716e-01 3.783385104489608075e+00 1.562500000000005829e-01
6.942746195778541907e-01 3.781085872304893236e+00 1.545000000000005536e-01
6.961978179700366587e-01 3.778682440283537503e+00 1.527500000000004965e-01
6.981317007977312361e-01 3.775868046117159427e+00 1.510000000000005504e-01
7.000763573459142242e-01 3.773329909657900050e+00 1.512499999999999123e-01
7.020318778971598173e-01 3.771810236117326909e+00 1.514999999999999125e-01
7.039983537456113716e-01 3.771218929161264555e+00 1.517499999999999127e-01
7.059758772111888181e-01 3.772175213508795366e+00 1.519999999999999130e-01
7.079645416540372160e-01 3.773071990469818004e+00 1.475000000000014910e-01
7.099644414892181121e-01 3.772290435538863562e+00 1.430000000000014038e-01
7.119756722016522543e-01 3.770420384082338927e+00 1.385000000000013165e-01
7.139983303613159915e-01 3.767263105007421231e+00 1.340000000000013958e-01
7.160325136386985756e-01 3.763811408591021923e+00 1.322500000000005893e-01
7.180783208205234747e-01 3.761017246391637592e+00 1.305000000000005600e-01
7.201358518257399144e-01 3.758506638386607257e+00 1.287500000000005029e-01
7.222052077217908650e-01 3.756235046082611273e+00 1.270000000000005569e-01
7.242864907411620257e-01 3.753980373430551687e+00 1.247500000000007492e-01
7.263798042982174685e-01 3.751536029318439880e+00 1.225000000000006917e-01
7.284852530063282705e-01 3.748925570867045032e+00 1.202500000000006480e-01
7.306029426953001282e-01 3.746045929314661294e+00 1.180000000000006877e-01
7.327329804291056181e-01 3.743142437900446318e+00 1.165000000000004921e-01
7.348754745239275410e-01 3.740459559267421241e+00 1.150000000000004630e-01
7.370305345665197905e-01 3.737887118145858167e+00 1.135000000000004339e-01
7.391982714328918513e-01 3.735418088900444022e+00 1.120000000000004742e-01
7.413787973073251436e-01 3.732941732172874616e+00 1.102500000000005836e-01
7.435722257017255421e-01 3.730346802770376780e+00 1.085000000000005405e-01
7.457786714753211754e-01 3.727625430775949322e+00 1.067500000000004973e-01
7.479982508547119435e-01 3.724665737263974652e+00 1.050000000000005373e-01
7.502310814542781925e-01 3.721708169567547575e+00 1.040000000000003283e-01
7.524772822969557629e-01 3.718992019384538938e+00 1.030000000000003135e-01
7.547369738353850721e-01 3.716397190725749144e+00 1.020000000000002988e-01
7.570102779734434462e-01 3.713882569255962274e+00 1.010000000000003118e-01
7.592973180881668060e-01 3.711426390355466509e+00 1.000000000000003386e-01
7.615982190520703687e-01 3.709014194846493861e+00 9.900000000000030997e-02
7.639131072558761337e-01 3.706634576612576559e+00 9.800000000000029521e-02
7.662421106316561481e-01 3.704276932791359833e+00 9.700000000000030820e-02
7.685853586764012091e-01 3.701929489393120498e+00 9.600000000000032119e-02
7.709429824760222205e-01 3.699576186087877527e+00 9.500000000000029254e-02
7.733151147297946393e-01 3.697188443822148507e+00 9.400000000000025002e-02
7.757018897752568920e-01 3.694685204794132094e+00 9.300000000000026301e-02
7.781034436135703114e-01 3.692224343853034441e+00 9.250000000000013767e-02
